Matriz  Inversa,E:10 Determinantes:20 ,E:40 Determinantes:60 ,E:20 Determinantes:70 ,E:20 Determinantes:20 ,
Solución de  sistemas de  ecuaciones  por matrices,E:20 Matriz  Inversa:10 Método de Gauss Jordan:20 Regla  de  Cramer:30 ,E:50 Matriz  Inversa:40 Método de Gauss Jordan:40 Regla  de  Cramer:40 ,E:50 Matriz  Inversa:20 Método de Gauss Jordan:40 Regla  de  Cramer:40 ,E:20 Matriz  Inversa:20 Método de Gauss Jordan:20 Regla  de  Cramer:20 ,
Solución de problemas reales con álgebra lineal,E:10 Solución de  sistemas de  ecuaciones  por matrices:20 ,E:40 Solución de  sistemas de  ecuaciones  por matrices:50 ,E:30 Solución de  sistemas de  ecuaciones  por matrices:50 ,E:20 Solución de  sistemas de  ecuaciones  por matrices:20 ,
Método de Gauss Jordan,E:20 Determinantes:20 ,E:40 Determinantes:60 ,E:40 Determinantes:70 ,E:20 Determinantes:20 ,
Regla  de  Cramer,E:30 Determinantes:20 ,E:40 Determinantes:60 ,E:40 Determinantes:70 ,E:20 Determinantes:20 ,
Transpuesta,E:20 Operaciones  con  matrices:20 ,E:50 Operaciones  con  matrices:40 ,E:60 Operaciones  con  matrices:45 ,E:20 Operaciones  con  matrices:30 ,
Trigonometría,E:18 Álgebra  lineal:17 Matematicas:19 ,E:56 Álgebra  lineal:54 Matematicas:55 ,E:30 Álgebra  lineal:32 Matematicas:32 ,E:31 Álgebra  lineal:29 Matematicas:34 ,
Tríangulos  oblicuángulos,E:10 Trigonometría:18 ,E:60 Trigonometría:56 ,E:20 Trigonometría:30 ,E:40 Trigonometría:31 ,
Razones  trigonométricas,E:30 Tríangulos  oblicuángulos:10 Círculo  unitarioo:10 ,E:60 Tríangulos  oblicuángulos:60 Círculo  unitarioo:80 ,E:20 Tríangulos  oblicuángulos:20 Círculo  unitarioo:25 ,E:30 Tríangulos  oblicuángulos:40 Círculo  unitarioo:25 ,
Ángulos y sus  razones  trigonométricas,E:10 Razones  trigonométricas:30 ,E:70 Razones  trigonométricas:60 ,E:25 Razones  trigonométricas:20 ,E:20 Razones  trigonométricas:30 ,
Identidades  trigonométricas,E:10 Ángulos y sus  razones  trigonométricas:10 ,E:30 Ángulos y sus  razones  trigonométricas:70 ,E:12 Ángulos y sus  razones  trigonométricas:25 ,E:10 Ángulos y sus  razones  trigonométricas:20 ,
Ley de los Cosenos,E:10 Identidades  trigonométricas:10 Tríangulos  oblicuángulos:10 ,E:50 Identidades  trigonométricas:30 Tríangulos  oblicuángulos:60 ,E:40 Identidades  trigonométricas:12 Tríangulos  oblicuángulos:20 ,E:40 Identidades  trigonométricas:10 Tríangulos  oblicuángulos:40 ,
Ley de los Senos,E:10 Ley de los Cosenos:10 ,E:60 Ley de los Cosenos:50 ,E:40 Ley de los Cosenos:40 ,E:25 Ley de los Cosenos:40 ,
Solución de trángulos rectángulos,E:20 Ley de los Senos:10 Ecuaciones trigonometricas:10 ,E:70 Ley de los Senos:60 Ecuaciones trigonometricas:30 ,E:50 Ley de los Senos:40 Ecuaciones trigonometricas:15 ,E:40 Ley de los Senos:25 Ecuaciones trigonometricas:20 ,
Solución de problemas reales con trigonometría,E:10 Solución de trángulos rectángulos:20 ,E:50 Solución de trángulos rectángulos:70 ,E:50 Solución de trángulos rectángulos:50 ,E:30 Solución de trángulos rectángulos:40 ,
Ecuaciones trigonometricas,E:10 Identidades  trigonométricas:10 ,E:30 Identidades  trigonométricas:30 ,E:15 Identidades  trigonométricas:12 ,E:20 Identidades  trigonométricas:10 ,
Triángulos rectángulos,E:10 Trigonometría:18 ,E:80 Trigonometría:56 ,E:45 Trigonometría:30 ,E:40 Trigonometría:31 ,
Círculo  unitarioo,E:10 Triángulos rectángulos:10 ,E:80 Triángulos rectángulos:80 ,E:25 Triángulos rectángulos:45 ,E:25 Triángulos rectángulos:40 ,
Principios de la Geometríaa,E:10 Geometría:18 ,E:70 Geometría:56 ,E:70 Geometría:36 ,E:40 Geometría:35 ,
Plano cartesiano,E:40 Principios de la Geometríaa:10 ,E:70 Principios de la Geometríaa:70 ,E:80 Principios de la Geometríaa:70 ,E:70 Principios de la Geometríaa:40 ,
Recta,E:20 Plano cartesiano:40 ,E:70 Plano cartesiano:70 ,E:60 Plano cartesiano:80 ,E:50 Plano cartesiano:70 ,
Circunferencia,E:20 Recta:20 ,E:70 Recta:70 ,E:40 Recta:60 ,E:70 Recta:50 ,
Elipse,E:20 Circunferencia:20 ,E:50 Circunferencia:70 ,E:15 Circunferencia:40 ,E:25 Circunferencia:70 ,
Hipérbola,E:20 Elipse:20 ,E:40 Elipse:50 ,E:15 Elipse:15 ,E:35 Elipse:25 ,
Ángulos,E:30 Principios de la Geometríaa:10 ,E:60 Principios de la Geometríaa:70 ,E:75 Principios de la Geometríaa:70 ,E:60 Principios de la Geometríaa:40 ,
Polígonos,E:20 Ángulos:30 ,E:50 Ángulos:60 ,E:80 Ángulos:75 ,E:50 Ángulos:60 ,
Triángulos,E:20 Polígonos:20 ,E:50 Polígonos:50 ,E:60 Polígonos:80 ,E:65 Polígonos:50 ,
Cuadrilateros,E:20 Triángulos:20 ,E:70 Triángulos:50 ,E:65 Triángulos:60 ,E:70 Triángulos:65 ,
Postulados y teoremas,E:10 Cuadrilateros:20 ,E:50 Cuadrilateros:70 ,E:20 Cuadrilateros:65 ,E:60 Cuadrilateros:70 ,
Perímetros áreas y volúmenes,E:20 Postulados y teoremas:10 ,E:70 Postulados y teoremas:50 ,E:65 Postulados y teoremas:20 ,E:50 Postulados y teoremas:60 ,
Relación métrica de la circunferencia,E:20 Perímetros áreas y volúmenes:20 ,E:70 Perímetros áreas y volúmenes:70 ,E:30 Perímetros áreas y volúmenes:65 ,E:60 Perímetros áreas y volúmenes:50 ,
Congruencia de trángulos,E:20 Perímetros áreas y volúmenes:20 ,E:50 Perímetros áreas y volúmenes:70 ,E:30 Perímetros áreas y volúmenes:65 ,E:70 Perímetros áreas y volúmenes:50 ,
Semezanjas de triangulos,E:20 Congruencia de trángulos:20 ,E:50 Congruencia de trángulos:50 ,E:25 Congruencia de trángulos:30 ,E:70 Congruencia de trángulos:70 ,
Teorema de Euclides,E:20 Semezanjas de triangulos:20 ,E:80 Semezanjas de triangulos:50 ,E:30 Semezanjas de triangulos:25 ,E:10 Semezanjas de triangulos:70 ,
Teorema de Pitágoras,E:20 Semezanjas de triangulos:20 ,E:70 Semezanjas de triangulos:50 ,E:40 Semezanjas de triangulos:25 ,E:50 Semezanjas de triangulos:70 ,
Teorema de Thales de Mileto,E:20 Semezanjas de triangulos:20 ,E:70 Semezanjas de triangulos:50 ,E:30 Semezanjas de triangulos:25 ,E:50 Semezanjas de triangulos:70 ,
Álgebra,E:19 Matematicas:19 Aritmetica:24 ,E:57 Matematicas:55 Aritmetica:59 ,E:34 Matematicas:32 Aritmetica:35 ,E:39 Matematicas:34 Aritmetica:45 ,
Expresiones algebraicas,E:40 Álgebra:19 ,E:70 Álgebra:57 ,E:30 Álgebra:34 ,E:40 Álgebra:39 ,
Operaciones básicas del álgebra,E:30 Expresiones algebraicas:40 ,E:50 Expresiones algebraicas:70 ,E:35 Expresiones algebraicas:30 ,E:50 Expresiones algebraicas:40 ,
Lenguaje común y lenguaje algebraico,E:20 Operaciones básicas del álgebra:30 ,E:70 Operaciones básicas del álgebra:50 ,E:20 Operaciones básicas del álgebra:35 ,E:60 Operaciones básicas del álgebra:50 ,
Suma  y resta de  terminos algebraicos,E:30 Lenguaje común y lenguaje algebraico:20 ,E:70 Lenguaje común y lenguaje algebraico:70 ,E:25 Lenguaje común y lenguaje algebraico:20 ,E:60 Lenguaje común y lenguaje algebraico:60 ,
Multiplicación de  términos algebraicos,E:20 Suma  y resta de  terminos algebraicos:30 ,E:70 Suma  y resta de  terminos algebraicos:70 ,E:40 Suma  y resta de  terminos algebraicos:25 ,E:60 Suma  y resta de  terminos algebraicos:60 ,
División de polinomio entre polinomio,E:20 Multiplicación de  términos algebraicos:20 Multiplicación de polinomios:20 División de polinomio entre monomio:30 ,E:70 Multiplicación de  términos algebraicos:70 Multiplicación de polinomios:60 División de polinomio entre monomio:70 ,E:15 Multiplicación de  términos algebraicos:40 Multiplicación de polinomios:30 División de polinomio entre monomio:60 ,E:30 Multiplicación de  términos algebraicos:60 Multiplicación de polinomios:50 División de polinomio entre monomio:60 ,
Multiplicación de polinomios,E:20 Multiplicación de  términos algebraicos:20 ,E:60 Multiplicación de  términos algebraicos:70 ,E:30 Multiplicación de  términos algebraicos:40 ,E:50 Multiplicación de  términos algebraicos:60 ,
Factorización ,E:10 Multiplicación de polinomios:20 División de  términos  algebraicos:10 Fórmula general para ecuaciones de segundo grado:10 ,E:60 Multiplicación de polinomios:60 División de  términos  algebraicos:70 Fórmula general para ecuaciones de segundo grado:20 ,E:20 Multiplicación de polinomios:30 División de  términos  algebraicos:45 Fórmula general para ecuaciones de segundo grado:15 ,E:60 Multiplicación de polinomios:50 División de  términos  algebraicos:30 Fórmula general para ecuaciones de segundo grado:60 ,
Ecuaciones de  primer grado,E:70 Factorización :10  Ecuaciones algebraicas:30 ,E:85 Factorización :60  Ecuaciones algebraicas:50 ,E:25 Factorización :20  Ecuaciones algebraicas:25 ,E:90 Factorización :60  Ecuaciones algebraicas:60 ,
Sistemas  de  ecuaciones ,E:40 Ecuaciones de  primer grado:70 Métodos analíticos para la resolución de sistemas de ecuaciones:20 ,E:60 Ecuaciones de  primer grado:85 Métodos analíticos para la resolución de sistemas de ecuaciones:50 ,E:20 Ecuaciones de  primer grado:25 Métodos analíticos para la resolución de sistemas de ecuaciones:40 ,E:60 Ecuaciones de  primer grado:90 Métodos analíticos para la resolución de sistemas de ecuaciones:40 ,
Solución de problemas reales con sistemas de ecuaciones,E:10 Sistemas  de  ecuaciones :40 ,E:40 Sistemas  de  ecuaciones :60 ,E:10 Sistemas  de  ecuaciones :20 ,E:40 Sistemas  de  ecuaciones :60 ,
Ecuaciones de segundo grado,E:10 Factorización :10 Productos notables:10 ,E:50 Factorización :60 Productos notables:50 ,E:30 Factorización :20 Productos notables:20 ,E:60 Factorización :60 Productos notables:60 ,
Solución de problemas reales con ecuaciones de segundo grado,E:10 Ecuaciones de segundo grado:10 ,E:30 Ecuaciones de segundo grado:50 ,E:20 Ecuaciones de segundo grado:30 ,E:50 Ecuaciones de segundo grado:60 ,
Productos notables,E:10 Factorización :10 Multiplicación de polinomios:20 ,E:50 Factorización :60 Multiplicación de polinomios:60 ,E:20 Factorización :20 Multiplicación de polinomios:30 ,E:60 Factorización :60 Multiplicación de polinomios:50 ,
División de  términos  algebraicos,E:10 Multiplicación de  términos algebraicos:20 ,E:70 Multiplicación de  términos algebraicos:70 ,E:45 Multiplicación de  términos algebraicos:40 ,E:30 Multiplicación de  términos algebraicos:60 ,
División de polinomio entre monomio,E:30 División de  términos  algebraicos:10 ,E:70 División de  términos  algebraicos:70 ,E:60 División de  términos  algebraicos:45 ,E:60 División de  términos  algebraicos:30 ,
 Ecuaciones algebraicas,E:30 Expresiones algebraicas:40 ,E:50 Expresiones algebraicas:70 ,E:25 Expresiones algebraicas:30 ,E:60 Expresiones algebraicas:40 ,
Métodos analíticos para la resolución de sistemas de ecuaciones,E:20  Ecuaciones algebraicas:30 ,E:50  Ecuaciones algebraicas:50 ,E:40  Ecuaciones algebraicas:25 ,E:40  Ecuaciones algebraicas:60 ,
Aritmetica,E:24 Matematicas:19 ,E:59 Matematicas:55 ,E:35 Matematicas:32 ,E:45 Matematicas:34 ,
Fórmula general para ecuaciones de segundo grado,E:10 Aritmetica:24 ,E:20 Aritmetica:59 ,E:15 Aritmetica:35 ,E:60 Aritmetica:45 ,
Operaciones Aritméticas ,E:30 Aritmetica:24 ,E:50 Aritmetica:59 ,E:40 Aritmetica:35 ,E:70 Aritmetica:45 ,
Resta aritmética de números enteros,E:80 Operaciones Aritméticas :30 ,E:80 Operaciones Aritméticas :50 ,E:45 Operaciones Aritméticas :40 ,E:80 Operaciones Aritméticas :70 ,
Operaciones  aritméticas  compuestas,E:60 Resta aritmética de números enteros:80 División de  números  racionales:30 Multiplicación de  números  racionales:80 Resta de  números  racionales:20 Suma de números racionales :10 División  aritmética de números enteros:30 Jerarquías de las operaciones aritméticas:50 Suma aritmética de números enteros:100 Exponentes de números racionales a numeros enteros:50 Multiplicación aritmética de números enteros:100 ,E:85 Resta aritmética de números enteros:80 División de  números  racionales:70 Multiplicación de  números  racionales:80 Resta de  números  racionales:60 Suma de números racionales :50 División  aritmética de números enteros:90 Jerarquías de las operaciones aritméticas:60 Suma aritmética de números enteros:90 Exponentes de números racionales a numeros enteros:50 Multiplicación aritmética de números enteros:85 ,E:30 Resta aritmética de números enteros:45 División de  números  racionales:25 Multiplicación de  números  racionales:25 Resta de  números  racionales:30 Suma de números racionales :30 División  aritmética de números enteros:40 Jerarquías de las operaciones aritméticas:25 Suma aritmética de números enteros:80 Exponentes de números racionales a numeros enteros:20 Multiplicación aritmética de números enteros:30 ,E:50 Resta aritmética de números enteros:80 División de  números  racionales:60 Multiplicación de  números  racionales:85 Resta de  números  racionales:40 Suma de números racionales :40 División  aritmética de números enteros:60 Jerarquías de las operaciones aritméticas:75 Suma aritmética de números enteros:90 Exponentes de números racionales a numeros enteros:40 Multiplicación aritmética de números enteros:80 ,
División  aritmética de números enteros,E:30 Resta aritmética de números enteros:80 Multiplicación aritmética de números enteros:100 ,E:90 Resta aritmética de números enteros:80 Multiplicación aritmética de números enteros:85 ,E:40 Resta aritmética de números enteros:45 Multiplicación aritmética de números enteros:30 ,E:60 Resta aritmética de números enteros:80 Multiplicación aritmética de números enteros:80 ,
Suma de números racionales ,E:10 División  aritmética de números enteros:30 Multiplicación aritmética de números enteros:100 Ley de signos:30 Máximo común divisor :10 Mínimo común múltiplo :20 ,E:50 División  aritmética de números enteros:90 Multiplicación aritmética de números enteros:85 Ley de signos:60 Máximo común divisor :60 Mínimo común múltiplo :60 ,E:30 División  aritmética de números enteros:40 Multiplicación aritmética de números enteros:30 Ley de signos:35 Máximo común divisor :40 Mínimo común múltiplo :35 ,E:40 División  aritmética de números enteros:60 Multiplicación aritmética de números enteros:80 Ley de signos:90 Máximo común divisor :80 Mínimo común múltiplo :85 ,
Multiplicación de  números  racionales,E:80 Suma de números racionales :10 Multiplicación aritmética de números enteros:100 ,E:80 Suma de números racionales :50 Multiplicación aritmética de números enteros:85 ,E:25 Suma de números racionales :30 Multiplicación aritmética de números enteros:30 ,E:85 Suma de números racionales :40 Multiplicación aritmética de números enteros:80 ,
División de  números  racionales,E:30 Multiplicación de  números  racionales:80 Resta de  números  racionales:20 Suma de números racionales :10 ,E:70 Multiplicación de  números  racionales:80 Resta de  números  racionales:60 Suma de números racionales :50 ,E:25 Multiplicación de  números  racionales:25 Resta de  números  racionales:30 Suma de números racionales :30 ,E:60 Multiplicación de  números  racionales:85 Resta de  números  racionales:40 Suma de números racionales :40 ,
Razón y proporciones,E:10 División de  números  racionales:30 Multiplicación de  números  racionales:80 ,E:40 División de  números  racionales:70 Multiplicación de  números  racionales:80 ,E:40 División de  números  racionales:25 Multiplicación de  números  racionales:25 ,E:60 División de  números  racionales:60 Multiplicación de  números  racionales:85 ,
Regla detres,E:60 Razón y proporciones:10 División de  números  racionales:30 Multiplicación de  números  racionales:80 ,E:80 Razón y proporciones:40 División de  números  racionales:70 Multiplicación de  números  racionales:80 ,E:60 Razón y proporciones:40 División de  números  racionales:25 Multiplicación de  números  racionales:25 ,E:75 Razón y proporciones:60 División de  números  racionales:60 Multiplicación de  números  racionales:85 ,
Porcentajes,E:10 Regla detres:60 Razón y proporciones:10 ,E:50 Regla detres:80 Razón y proporciones:40 ,E:40 Regla detres:60 Razón y proporciones:40 ,E:45 Regla detres:75 Razón y proporciones:60 ,
Ley de exponentes,E:10 División de  números  racionales:30 Multiplicación de  números  racionales:80 Resta de  números  racionales:20 Suma de números racionales :10 ,E:50 División de  números  racionales:70 Multiplicación de  números  racionales:80 Resta de  números  racionales:60 Suma de números racionales :50 ,E:20 División de  números  racionales:25 Multiplicación de  números  racionales:25 Resta de  números  racionales:30 Suma de números racionales :30 ,E:50 División de  números  racionales:60 Multiplicación de  números  racionales:85 Resta de  números  racionales:40 Suma de números racionales :40 ,
Notación científica ,E:10 Ley de exponentes:10 Exponentes de números enteros elevados a números enteros:70 ,E:60 Ley de exponentes:50 Exponentes de números enteros elevados a números enteros:70 ,E:45 Ley de exponentes:20 Exponentes de números enteros elevados a números enteros:20 ,E:50 Ley de exponentes:50 Exponentes de números enteros elevados a números enteros:80 ,
Radicales,E:10 División de  números  racionales:30 Multiplicación de  números  racionales:80 Resta de  números  racionales:20 ,E:50 División de  números  racionales:70 Multiplicación de  números  racionales:80 Resta de  números  racionales:60 ,E:20 División de  números  racionales:25 Multiplicación de  números  racionales:25 Resta de  números  racionales:30 ,E:30 División de  números  racionales:60 Multiplicación de  números  racionales:85 Resta de  números  racionales:40 ,
Resta de  números  racionales,E:20 Suma de números racionales :10 ,E:60 Suma de números racionales :50 ,E:30 Suma de números racionales :30 ,E:40 Suma de números racionales :40 ,
Jerarquías de las operaciones aritméticas,E:50 Operaciones Aritméticas :30 ,E:60 Operaciones Aritméticas :50 ,E:25 Operaciones Aritméticas :40 ,E:75 Operaciones Aritméticas :70 ,
Suma aritmética de números enteros,E:100 Operaciones Aritméticas :30 ,E:90 Operaciones Aritméticas :50 ,E:80 Operaciones Aritméticas :40 ,E:90 Operaciones Aritméticas :70 ,
Tablas de  multiplicar,E:80 Suma aritmética de números enteros:100 ,E:80 Suma aritmética de números enteros:90 ,E:90 Suma aritmética de números enteros:80 ,E:70 Suma aritmética de números enteros:90 ,
Multiplicación aritmética de números enteros,E:100 Tablas de  multiplicar:80 ,E:85 Tablas de  multiplicar:80 ,E:30 Tablas de  multiplicar:90 ,E:80 Tablas de  multiplicar:70 ,
Exponentes de números racionales a numeros enteros,E:50 Multiplicación aritmética de números enteros:100 ,E:50 Multiplicación aritmética de números enteros:85 ,E:20 Multiplicación aritmética de números enteros:30 ,E:40 Multiplicación aritmética de números enteros:80 ,
Exponentes de números enteros elevados a números enteros,E:70 Multiplicación aritmética de números enteros:100 ,E:70 Multiplicación aritmética de números enteros:85 ,E:20 Multiplicación aritmética de números enteros:30 ,E:80 Multiplicación aritmética de números enteros:80 ,
Conjuntos,E:60 Aritmetica:24 ,E:70 Aritmetica:59 ,E:50 Aritmetica:35 ,E:80 Aritmetica:45 ,
Conjuntos Numericos ,E:80 Conjuntos:60 ,E:50 Conjuntos:70 ,E:25 Conjuntos:50 ,E:80 Conjuntos:80 ,
Clasificación de los números,E:60 Conjuntos Numericos :80 ,E:50 Conjuntos Numericos :50 ,E:30 Conjuntos Numericos :25 ,E:80 Conjuntos Numericos :80 ,
Números racionales ,E:20 Clasificación de los números:60 ,E:70 Clasificación de los números:50 ,E:15 Clasificación de los números:30 ,E:60 Clasificación de los números:80 ,
Ley de signos,E:30 Números racionales :20 ,E:60 Números racionales :70 ,E:35 Números racionales :15 ,E:90 Números racionales :60 ,
Común denominador ,E:10 Números racionales :20 ,E:70 Números racionales :70 ,E:35 Números racionales :15 ,E:60 Números racionales :60 ,
Máximo común divisor ,E:10 Común denominador :10 ,E:60 Común denominador :70 ,E:40 Común denominador :35 ,E:80 Común denominador :60 ,
Mínimo común múltiplo ,E:20 Común denominador :10 ,E:60 Común denominador :70 ,E:35 Común denominador :35 ,E:85 Común denominador :60 ,
Suma validas,124,107,107,109,
